8,4,5
3,5,8
3,8,6
5,7,9
5,3,6
1,9,4
17,4,7
1,8,1
12,7,8
3,1,4
2,4,6
8,6,1
4,6,3
1,7,8
5,5,8
4,7,1
3,2,6
2,5,1
6,1,6
4,3,5
4,5,3
1,4,8
3,3,2
17,8,4
6,6,3
14,4,9
1,3,8
1,7,4
3,8,3
5,2,5
6,1,7
2,6,4
4,5,7
1,1,5
1,6,3
10,7,4
1,5,4
1,2,3
15,4,5
3,3,1
6,2,6
1,2,3
2,4,7
2,7,8
1,4,2
2,1,7
1,7,2
12,9,1
4,9,5
4,6,2
1,7,3
6,2,4
1,8,5
2,4,2
11,1,7
3,1,4
17,5,6
15,6,4
1,8,9
10,4,1
1,3,9
2,6,5
1,2,6
4,5,6
4,1,2
6,6,7
2,2,6
9,4,9
6,1,2
3,4,1
10,9,8
4,2,1
1,1,2
5,8,6
1,2,7
1,9,4
2,6,9
13,7,2
5,7,5
2,5,2
1,4,5
4,8,4
17,2,6
3,4,6
2,9,1
7,6,8
1,5,2
1,4,1
2,9,4
1,3,9
4,3,7
2,8,5
3,7,5
10,5,8
2,2,4
6,1,2
4,6,3
8,2,6
1,7,4
5,4,5
7,6,7
5,3,5
5,5,2
4,8,1
6,1,6
3,3,2
22,6,2
1,9,7
8,8,6
1,7,6
2,5,7
4,8,5
7,6,7
2,6,4
14,2,1
7,1,3
12,7,3
1,4,3
2,5,8
2,8,1
1,4,3
6,2,9
6,9,2
2,2,7
6,7,5
13,3,5
5,2,6
5,6,1
2,3,6
1,6,5
1,6,1
3,1,9
6,2,7
1,2,3
24,5,2
7,3,7
13,7,9
4,1,9
4,1,6
1,5,6
16,9,5
1,6,4
1,5,2
5,1,3
11,2,1
4,9,6
1,4,7
2,3,4
6,6,9
1,1,3
2,9,4
1,7,9
4,2,9
8,9,2
3,3,2
1,9,4
5,1,7
1,4,8
2,1,9
1,8,7
6,5,3
1,5,1
5,2,3
4,1,5
4,7,1
8,5,8
